rank,resume_id,resume_category,job_id,job_title,job_categories,score,relevant
4,64589506,BANKING,3891841261,Entry Level Oracle Financial Technology Consultant,"FINANCE, CONSULTANT",0.7677603244781495,False
5,64589506,BANKING,3901947196,CX Service Industries - Principal Sales Consultant,"BUSINESS-DEVELOPMENT, SALES, CONSULTANT",0.7673608819643657,False
1,19724031,ARTS,3904931596,Volunteer: Opportunity Alert: Marketing Coordinator needed for Cyber Defense & Intelligence Center,SALES,0.7413887858390809,False
2,19724031,ARTS,3891278715,Graduate Nurse Rotational Program: UPMC Mercy – Trauma/Burn Track (Spring 2024 Graduates),HEALTHCARE,0.7383121711867197,False
3,19724031,ARTS,3901954669,"Patient Care Technician, Full-Time, 4W Acute Care - UPMC East",HEALTHCARE,0.7360276443617685,False
4,19724031,ARTS,3906219341,Registered Nurse (RN)— Intensive Care Unit (ICU),HEALTHCARE,0.7342865926878793,False
5,19724031,ARTS,3894559003,Med Aide-Full Time,HEALTHCARE,0.7340974807739258,False
1,21298336,ENGINEERING,3903442596,Highway Design Engineer,ENGINEERING,0.8239987083843776,True
2,21298336,ENGINEERING,3904432529,Engineering Intern,INFORMATION-TECHNOLOGY,0.8113864541053772,False
3,21298336,ENGINEERING,3902869064,Engineering Intern,INFORMATION-TECHNOLOGY,0.8017254948616028,False
4,21298336,ENGINEERING,3905829853,Electrical Engineer,ENGINEERING,0.7969292266028268,True
5,21298336,ENGINEERING,3902940639,Structural Engineer,"INFORMATION-TECHNOLOGY, ENGINEERING",0.7954193830490113,True
1,34511655,DESIGNER,3904360904,UI/UX Designer (Jr.),DESIGNER,0.8938847160339356,True
2,34511655,DESIGNER,3894996815,Junior Graphic Designer,DESIGNER,0.8736845827102662,True
3,34511655,DESIGNER,3904414228,Senior Graphic Designer,"INFORMATION-TECHNOLOGY, DESIGNER, ARTS",0.8661520940916879,True
4,34511655,DESIGNER,3899530603,Senior Product Designer (Design Systems) ,DESIGNER,0.8604586958885193,True
5,34511655,DESIGNER,3905285834,Digital Designer,"DESIGNER, ARTS",0.8595710856573923,True
1,10247517,INFORMATION-TECHNOLOGY,3894299307,Information Technology Desktop Support,INFORMATION-TECHNOLOGY,0.8219037211858309,True
2,10247517,INFORMATION-TECHNOLOGY,3901977680,Information Technology Project Manager,"INFORMATION-TECHNOLOGY, HEALTHCARE",0.8199294141360691,True
3,10247517,INFORMATION-TECHNOLOGY,3901666087,Director of Information Technology,INFORMATION-TECHNOLOGY,0.8184790171109713,True
4,10247517,INFORMATION-TECHNOLOGY,3902828671,Information Technology Support Specialist,INFORMATION-TECHNOLOGY,0.8171343959294832,True
5,10247517,INFORMATION-TECHNOLOGY,3888035176,Information Technology Specialist (CUSTSPT) with Security Clearance,INFORMATION-TECHNOLOGY,0.8151442564450777,True
